Muscle_Group,Equipment,Exercise,Description,,,,,,,,,,,,,,muscle_group_id,muscle_group,,equipment_id,equipment,,,id,muscle_group_id,equipment_id,name,description
Abdominals,Bodyweight,Bicycle Crunch,A dynamic abdominal exercise involving simultaneous elbow-to-knee touches in a cycling motion.,,"('Abdominals', 'Bodyweight', 'Bicycle Crunch', 'A dynamic abdominal exercise involving simultaneous elbow-to-knee touches in a cycling motion.'),",,,,,,,,,,,,12,Trapezius,,,,,,12,1,2,Bicycle Crunch,A dynamic abdominal exercise involving simultaneous elbow-to-knee touches in a cycling motion.
Abdominals,Bodyweight,Bird Dog,"A core stability exercise performed on hands and knees, extending opposite arm and leg simultaneously.",,"('Abdominals', 'Bodyweight', 'Bird Dog', 'A core stability exercise performed on hands and knees, extending opposite arm and leg simultaneously.'),",,,,,,,,,,,,13,Triceps,,,,,,13,1,2,Bird Dog,"A core stability exercise performed on hands and knees, extending opposite arm and leg simultaneously."
Abdominals,Bodyweight,Bodyweight Hanging Knee Tuck,Hanging from a bar and bringing knees toward chest to target lower abdominals.,,"('Abdominals', 'Bodyweight', 'Bodyweight Hanging Knee Tuck', 'Hanging from a bar and bringing knees toward chest to target lower abdominals.'),",,,,,,,,,,,,,,,,,,,14,1,2,Bodyweight Hanging Knee Tuck,Hanging from a bar and bringing knees toward chest to target lower abdominals.
Abdominals,Bodyweight,Bodyweight Hanging L Sit,Hanging from a bar with legs extended straight out in front at 90 degrees to the body.,,"('Abdominals', 'Bodyweight', 'Bodyweight Hanging L Sit', 'Hanging from a bar with legs extended straight out in front at 90 degrees to the body.'),",,,,,,,,,,,,,,,,,,,15,1,2,Bodyweight Hanging L Sit,Hanging from a bar with legs extended straight out in front at 90 degrees to the body.
Abdominals,Bodyweight,Bodyweight Knee Plank Up Down,Transitioning between forearm plank and hand plank positions while maintaining knees on ground.,,"('Abdominals', 'Bodyweight', 'Bodyweight Knee Plank Up Down', 'Transitioning between forearm plank and hand plank positions while maintaining knees on ground.'),",,,,,,,,,,,,,,,,,,,16,1,2,Bodyweight Knee Plank Up Down,Transitioning between forearm plank and hand plank positions while maintaining knees on ground.
Abdominals,Bodyweight,Bodyweight Plank Up Down,Moving between forearm and hand plank positions while maintaining core tension.,,"('Abdominals', 'Bodyweight', 'Bodyweight Plank Up Down', 'Moving between forearm and hand plank positions while maintaining core tension.'),",,,,,,,,,,,,,,,,,,,17,1,2,Bodyweight Plank Up Down,Moving between forearm and hand plank positions while maintaining core tension.
Abdominals,Bodyweight,Bodyweight Russian Twist,A seated rotational exercise targeting obliques by twisting side to side with elevated feet.,,"('Abdominals', 'Bodyweight', 'Bodyweight Russian Twist', 'A seated rotational exercise targeting obliques by twisting side to side with elevated feet.'),",,,,,,,,,,,,,,,,,,,18,1,2,Bodyweight Russian Twist,A seated rotational exercise targeting obliques by twisting side to side with elevated feet.
Abdominals,Bodyweight,Bodyweight Situp,A basic abdominal exercise lying on back and rising to a seated position.,,"('Abdominals', 'Bodyweight', 'Bodyweight Situp', 'A basic abdominal exercise lying on back and rising to a seated position.'),",,,,,,,,,,,,,,,,,,,19,1,2,Bodyweight Situp,A basic abdominal exercise lying on back and rising to a seated position.
Abdominals,Bodyweight,Burpee,"A full-body exercise combining squat, pushup, and jump to elevate heart rate and target multiple muscle groups.",,"('Abdominals', 'Bodyweight', 'Burpee', 'A full-body exercise combining squat, pushup, and jump to elevate heart rate and target multiple muscle groups.'),",,,,,,,,,,,,,,,,,,,20,1,2,Burpee,"A full-body exercise combining squat, pushup, and jump to elevate heart rate and target multiple muscle groups."
Abdominals,Bodyweight,Crunches,A basic abdominal exercise lifting shoulders off the ground while engaging the core.,,"('Abdominals', 'Bodyweight', 'Crunches', 'A basic abdominal exercise lifting shoulders off the ground while engaging the core.'),",,,,,,,,,,,,,,,,,,,21,1,2,Crunches,A basic abdominal exercise lifting shoulders off the ground while engaging the core.
Abdominals,Bodyweight,Dead Bug,A core stability exercise performed on back with alternating arm and leg movements.,,"('Abdominals', 'Bodyweight', 'Dead Bug', 'A core stability exercise performed on back with alternating arm and leg movements.'),",,,,,,,,,,,,,,,,,,,22,1,2,Dead Bug,A core stability exercise performed on back with alternating arm and leg movements.
Abdominals,Bodyweight,Eccentric Dragonflag,A challenging core exercise where you lower your extended body in a controlled manner from a vertical position.,,"('Abdominals', 'Bodyweight', 'Eccentric Dragonflag', 'A challenging core exercise where you lower your extended body in a controlled manner from a vertical position.'),",,,,,,,,,,,,,,,,,,,23,1,2,Eccentric Dragonflag,A challenging core exercise where you lower your extended body in a controlled manner from a vertical position.
Abdominals,Bodyweight,Elbow Plank Mountain Climber,Performing alternating knee drives toward chest while maintaining an elbow plank position.,,"('Abdominals', 'Bodyweight', 'Elbow Plank Mountain Climber', 'Performing alternating knee drives toward chest while maintaining an elbow plank position.'),",,,,,,,,,,,,,,,,,,,24,1,2,Elbow Plank Mountain Climber,Performing alternating knee drives toward chest while maintaining an elbow plank position.
Abdominals,Bodyweight,Elbow Side Plank,A lateral core exercise supporting body weight on one elbow and side of feet.,,"('Abdominals', 'Bodyweight', 'Elbow Side Plank', 'A lateral core exercise supporting body weight on one elbow and side of feet.'),",,,,,,,,,,,,,,,,,,,25,1,2,Elbow Side Plank,A lateral core exercise supporting body weight on one elbow and side of feet.
Abdominals,Bodyweight,Forearm Plank,An isometric core exercise holding a straight-body position supported by forearms and toes.,,"('Abdominals', 'Bodyweight', 'Forearm Plank', 'An isometric core exercise holding a straight-body position supported by forearms and toes.'),",,,,,,,,,,,,,,,,,,,26,1,2,Forearm Plank,An isometric core exercise holding a straight-body position supported by forearms and toes.
Abdominals,Bodyweight,Frog Crunch,A crunch variation with knees wide and feet together to increase range of motion.,,"('Abdominals', 'Bodyweight', 'Frog Crunch', 'A crunch variation with knees wide and feet together to increase range of motion.'),",,,,,,,,,,,,,,,,,,,27,1,2,Frog Crunch,A crunch variation with knees wide and feet together to increase range of motion.
Abdominals,Bodyweight,Frog Sit Up,A situp variation with knees wide and feet together to increase hip mobility and core engagement.,,"('Abdominals', 'Bodyweight', 'Frog Sit Up', 'A situp variation with knees wide and feet together to increase hip mobility and core engagement.'),",,,,,,,,,,,,,,,,,,,28,1,2,Frog Sit Up,A situp variation with knees wide and feet together to increase hip mobility and core engagement.
Abdominals,Bodyweight,Hand Plank,An isometric core exercise in a pushup-top position with body in straight line.,,"('Abdominals', 'Bodyweight', 'Hand Plank', 'An isometric core exercise in a pushup-top position with body in straight line.'),",,,,,,,,,,,,,,,,,,,29,1,2,Hand Plank,An isometric core exercise in a pushup-top position with body in straight line.
Abdominals,Bodyweight,Hand Side Plank,A lateral core exercise supporting body weight on one hand and side of feet.,,"('Abdominals', 'Bodyweight', 'Hand Side Plank', 'A lateral core exercise supporting body weight on one hand and side of feet.'),",,,,,,,,,,,,,,,,,,,30,1,2,Hand Side Plank,A lateral core exercise supporting body weight on one hand and side of feet.
Abdominals,Bodyweight,Hand Side Plank Reach Through,A side plank variation with a rotational component reaching the top arm underneath the body.,,"('Abdominals', 'Bodyweight', 'Hand Side Plank Reach Through', 'A side plank variation with a rotational component reaching the top arm underneath the body.'),",,,,,,,,,,,,,,,,,,,31,1,2,Hand Side Plank Reach Through,A side plank variation with a rotational component reaching the top arm underneath the body.
Abdominals,Bodyweight,Hanging Knee Raises,Hanging from a bar and lifting knees toward chest to target lower abdominals.,,"('Abdominals', 'Bodyweight', 'Hanging Knee Raises', 'Hanging from a bar and lifting knees toward chest to target lower abdominals.'),",,,,,,,,,,,,,,,,,,,32,1,2,Hanging Knee Raises,Hanging from a bar and lifting knees toward chest to target lower abdominals.
Abdominals,Bodyweight,Hollow Hold,An isometric core exercise lying on back with arms and legs extended and lower back pressed to floor.,,"('Abdominals', 'Bodyweight', 'Hollow Hold', 'An isometric core exercise lying on back with arms and legs extended and lower back pressed to floor.'),",,,,,,,,,,,,,,,,,,,33,1,2,Hollow Hold,An isometric core exercise lying on back with arms and legs extended and lower back pressed to floor.
Abdominals,Bodyweight,Jumping Mountain Climber,An explosive variation of mountain climbers adding a jumping element for increased intensity.,,"('Abdominals', 'Bodyweight', 'Jumping Mountain Climber', 'An explosive variation of mountain climbers adding a jumping element for increased intensity.'),",,,,,,,,,,,,,,,,,,,34,1,2,Jumping Mountain Climber,An explosive variation of mountain climbers adding a jumping element for increased intensity.
Abdominals,Bodyweight,Laying Alternating Leg Raise,Lying on back and raising one straight leg at a time to target lower abdominals.,,"('Abdominals', 'Bodyweight', 'Laying Alternating Leg Raise', 'Lying on back and raising one straight leg at a time to target lower abdominals.'),",,,,,,,,,,,,,,,,,,,35,1,2,Laying Alternating Leg Raise,Lying on back and raising one straight leg at a time to target lower abdominals.
Abdominals,Bodyweight,Laying Bent Leg Raise,Lying on back and raising bent legs toward chest to target lower abdominals.,,"('Abdominals', 'Bodyweight', 'Laying Bent Leg Raise', 'Lying on back and raising bent legs toward chest to target lower abdominals.'),",,,,,,,,,,,,,,,,,,,36,1,2,Laying Bent Leg Raise,Lying on back and raising bent legs toward chest to target lower abdominals.
Abdominals,Bodyweight,Laying Leg Raises,Lying on back and raising both straight legs to target lower abdominals.,,"('Abdominals', 'Bodyweight', 'Laying Leg Raises', 'Lying on back and raising both straight legs to target lower abdominals.'),",,,,,,,,,,,,,,,,,,,37,1,2,Laying Leg Raises,Lying on back and raising both straight legs to target lower abdominals.
Abdominals,Bodyweight,Long Lever Forearm Plank,A more challenging forearm plank with arms extended further forward to increase leverage.,,"('Abdominals', 'Bodyweight', 'Long Lever Forearm Plank', 'A more challenging forearm plank with arms extended further forward to increase leverage.'),",,,,,,,,,,,,,,,,,,,38,1,2,Long Lever Forearm Plank,A more challenging forearm plank with arms extended further forward to increase leverage.
Abdominals,Bodyweight,Long Lever Plank,A more challenging hand plank with arms extended further forward to increase leverage.,,"('Abdominals', 'Bodyweight', 'Long Lever Plank', 'A more challenging hand plank with arms extended further forward to increase leverage.'),",,,,,,,,,,,,,,,,,,,39,1,2,Long Lever Plank,A more challenging hand plank with arms extended further forward to increase leverage.
Abdominals,Bodyweight,Mountain Climber,A dynamic core exercise in plank position alternately driving knees toward chest.,,"('Abdominals', 'Bodyweight', 'Mountain Climber', 'A dynamic core exercise in plank position alternately driving knees toward chest.'),",,,,,,,,,,,,,,,,,,,40,1,2,Mountain Climber,A dynamic core exercise in plank position alternately driving knees toward chest.
Abdominals,Bodyweight,Oblique Crunch,A crunch variation targeting the obliques by twisting upper body during the movement.,,"('Abdominals', 'Bodyweight', 'Oblique Crunch', 'A crunch variation targeting the obliques by twisting upper body during the movement.'),",,,,,,,,,,,,,,,,,,,41,1,2,Oblique Crunch,A crunch variation targeting the obliques by twisting upper body during the movement.
Abdominals,Bodyweight,Oblique Jackknife,A side-lying exercise bringing elbow and knee together to target obliques.,,"('Abdominals', 'Bodyweight', 'Oblique Jackknife', 'A side-lying exercise bringing elbow and knee together to target obliques.'),",,,,,,,,,,,,,,,,,,,42,1,2,Oblique Jackknife,A side-lying exercise bringing elbow and knee together to target obliques.
Abdominals,Bodyweight,Plank 2 Saw,A plank variation with forward-backward shifting to increase core engagement.,,"('Abdominals', 'Bodyweight', 'Plank 2 Saw', 'A plank variation with forward-backward shifting to increase core engagement.'),",,,,,,,,,,,,,,,,,,,43,1,2,Plank 2 Saw,A plank variation with forward-backward shifting to increase core engagement.
Abdominals,Bodyweight,Reach And Catch,A hollow hold variation with arm movements to challenge core stability.,,"('Abdominals', 'Bodyweight', 'Reach And Catch', 'A hollow hold variation with arm movements to challenge core stability.'),",,,,,,,,,,,,,,,,,,,44,1,2,Reach And Catch,A hollow hold variation with arm movements to challenge core stability.
Abdominals,Bodyweight,Reverse Crunch,Lying on back and lifting hips off ground to target lower abdominals.,,"('Abdominals', 'Bodyweight', 'Reverse Crunch', 'Lying on back and lifting hips off ground to target lower abdominals.'),",,,,,,,,,,,,,,,,,,,45,1,2,Reverse Crunch,Lying on back and lifting hips off ground to target lower abdominals.
Abdominals,Bodyweight,Reverse Crunch Kick Up,A reverse crunch with an extended leg kick at the top of the movement.,,"('Abdominals', 'Bodyweight', 'Reverse Crunch Kick Up', 'A reverse crunch with an extended leg kick at the top of the movement.'),",,,,,,,,,,,,,,,,,,,46,1,2,Reverse Crunch Kick Up,A reverse crunch with an extended leg kick at the top of the movement.
Abdominals,Bodyweight,Ring Standing Roll Out,A progression of ab rollouts performed with gymnastic rings from a standing position.,,"('Abdominals', 'Bodyweight', 'Ring Standing Roll Out', 'A progression of ab rollouts performed with gymnastic rings from a standing position.'),",,,,,,,,,,,,,,,,,,,47,1,2,Ring Standing Roll Out,A progression of ab rollouts performed with gymnastic rings from a standing position.
Abdominals,Bodyweight,Scissor Kick,A core exercise lying on back and alternating straight leg raises in a scissoring motion.,,"('Abdominals', 'Bodyweight', 'Scissor Kick', 'A core exercise lying on back and alternating straight leg raises in a scissoring motion.'),",,,,,,,,,,,,,,,,,,,48,1,2,Scissor Kick,A core exercise lying on back and alternating straight leg raises in a scissoring motion.
Abdominals,Bodyweight,Side Plank Reach Through,Rotating from side plank to reach arm underneath the body to target obliques.,,"('Abdominals', 'Bodyweight', 'Side Plank Reach Through', 'Rotating from side plank to reach arm underneath the body to target obliques.'),",,,,,,,,,,,,,,,,,,,49,1,2,Side Plank Reach Through,Rotating from side plank to reach arm underneath the body to target obliques.
Abdominals,Bodyweight,Side Plank Up Down,Transitioning between forearm and hand side plank positions while maintaining alignment.,,"('Abdominals', 'Bodyweight', 'Side Plank Up Down', 'Transitioning between forearm and hand side plank positions while maintaining alignment.'),",,,,,,,,,,,,,,,,,,,50,1,2,Side Plank Up Down,Transitioning between forearm and hand side plank positions while maintaining alignment.
Abdominals,Bodyweight,Sideways Scissor Kick,A variation of scissor kicks with a lateral component to target obliques.,,"('Abdominals', 'Bodyweight', 'Sideways Scissor Kick', 'A variation of scissor kicks with a lateral component to target obliques.'),",,,,,,,,,,,,,,,,,,,51,1,2,Sideways Scissor Kick,A variation of scissor kicks with a lateral component to target obliques.
Abdominals,Bodyweight,Slalom Mountain Climber,A mountain climber variation with diagonal knee drives mimicking skiing motions.,,"('Abdominals', 'Bodyweight', 'Slalom Mountain Climber', 'A mountain climber variation with diagonal knee drives mimicking skiing motions.'),",,,,,,,,,,,,,,,,,,,52,1,2,Slalom Mountain Climber,A mountain climber variation with diagonal knee drives mimicking skiing motions.
Abdominals,Bodyweight,Slow Tempo Mountain Climber,Mountain climbers performed at a deliberate pace to increase time under tension.,,"('Abdominals', 'Bodyweight', 'Slow Tempo Mountain Climber', 'Mountain climbers performed at a deliberate pace to increase time under tension.'),",,,,,,,,,,,,,,,,,,,53,1,2,Slow Tempo Mountain Climber,Mountain climbers performed at a deliberate pace to increase time under tension.
Abdominals,Bodyweight,Switch Jump Mountain Climber,An explosive mountain climber variation with a jumping switch of foot positions.,,"('Abdominals', 'Bodyweight', 'Switch Jump Mountain Climber', 'An explosive mountain climber variation with a jumping switch of foot positions.'),",,,,,,,,,,,,,,,,,,,54,1,2,Switch Jump Mountain Climber,An explosive mountain climber variation with a jumping switch of foot positions.
Abdominals,Bodyweight,Windshield Wiper,Lying on back with legs extended upward and rotating them side to side to target obliques.,,"('Abdominals', 'Bodyweight', 'Windshield Wiper', 'Lying on back with legs extended upward and rotating them side to side to target obliques.'),",,,,,,,,,,,,,,,,,,,55,1,2,Windshield Wiper,Lying on back with legs extended upward and rotating them side to side to target obliques.
Abdominals,Cables,Cable Half Kneeling High To Low Wood Chopper,A rotational exercise in half-kneeling position pulling cable diagonally downward.,,"('Abdominals', 'Cables', 'Cable Half Kneeling High To Low Wood Chopper', 'A rotational exercise in half-kneeling position pulling cable diagonally downward.'),",,,,,,,,,,,,,,,,,,,56,1,3,Cable Half Kneeling High To Low Wood Chopper,A rotational exercise in half-kneeling position pulling cable diagonally downward.
Abdominals,Cables,Cable Half Kneeling Low To High Wood Chopper,A rotational exercise in half-kneeling position pulling cable diagonally upward.,,"('Abdominals', 'Cables', 'Cable Half Kneeling Low To High Wood Chopper', 'A rotational exercise in half-kneeling position pulling cable diagonally upward.'),",,,,,,,,,,,,,,,,,,,57,1,3,Cable Half Kneeling Low To High Wood Chopper,A rotational exercise in half-kneeling position pulling cable diagonally upward.
Abdominals,Cables,Cable Half Kneeling Wood Chopper,A rotational core exercise in half-kneeling position using cable resistance.,,"('Abdominals', 'Cables', 'Cable Half Kneeling Wood Chopper', 'A rotational core exercise in half-kneeling position using cable resistance.'),",,,,,,,,,,,,,,,,,,,58,1,3,Cable Half Kneeling Wood Chopper,A rotational core exercise in half-kneeling position using cable resistance.
Abdominals,Cables,Cable Oblique Pushdown,A standing cable exercise pushing downward and across the body to target obliques.,,"('Abdominals', 'Cables', 'Cable Oblique Pushdown', 'A standing cable exercise pushing downward and across the body to target obliques.'),",,,,,,,,,,,,,,,,,,,59,1,3,Cable Oblique Pushdown,A standing cable exercise pushing downward and across the body to target obliques.
Abdominals,Cables,Cable Pallof Press,An anti-rotation core exercise extending arms horizontally while resisting cable's pull.,,"('Abdominals', 'Cables', 'Cable Pallof Press', 'An anti-rotation core exercise extending arms horizontally while resisting cable's pull.'),",,,,,,,,,,,,,,,,,,,60,1,3,Cable Pallof Press,An anti-rotation core exercise extending arms horizontally while resisting cable's pull.
Abdominals,Cables,Cable Pallof Press Rotation,A pallof press variation adding a rotational component to increase difficulty.,,"('Abdominals', 'Cables', 'Cable Pallof Press Rotation', 'A pallof press variation adding a rotational component to increase difficulty.'),",,,,,,,,,,,,,,,,,,,61,1,3,Cable Pallof Press Rotation,A pallof press variation adding a rotational component to increase difficulty.
Abdominals,Cables,Cable Rope Kneeling Crunch,A kneeling abdominal exercise pulling a rope attachment toward knees.,,"('Abdominals', 'Cables', 'Cable Rope Kneeling Crunch', 'A kneeling abdominal exercise pulling a rope attachment toward knees.'),",,,,,,,,,,,,,,,,,,,62,1,3,Cable Rope Kneeling Crunch,A kneeling abdominal exercise pulling a rope attachment toward knees.
Abdominals,Cables,Cable Rope Kneeling Oblique Crunch,A kneeling cable crunch with rotation to target the obliques.,,"('Abdominals', 'Cables', 'Cable Rope Kneeling Oblique Crunch', 'A kneeling cable crunch with rotation to target the obliques.'),",,,,,,,,,,,,,,,,,,,63,1,3,Cable Rope Kneeling Oblique Crunch,A kneeling cable crunch with rotation to target the obliques.
Abdominals,Cables,Cable Row Bar Kneeling Crunch,A kneeling abdominal exercise pulling a straight bar attachment toward knees.,,"('Abdominals', 'Cables', 'Cable Row Bar Kneeling Crunch', 'A kneeling abdominal exercise pulling a straight bar attachment toward knees.'),",,,,,,,,,,,,,,,,,,,64,1,3,Cable Row Bar Kneeling Crunch,A kneeling abdominal exercise pulling a straight bar attachment toward knees.
Abdominals,Cables,Cable Side Bend,A standing lateral flexion exercise using cable resistance to target obliques.,,"('Abdominals', 'Cables', 'Cable Side Bend', 'A standing lateral flexion exercise using cable resistance to target obliques.'),",,,,,,,,,,,,,,,,,,,65,1,3,Cable Side Bend,A standing lateral flexion exercise using cable resistance to target obliques.
Abdominals,Cables,Cable Standing Crunch,A standing abdominal exercise pulling cable downward to simulate crunch movement.,,"('Abdominals', 'Cables', 'Cable Standing Crunch', 'A standing abdominal exercise pulling cable downward to simulate crunch movement.'),",,,,,,,,,,,,,,,,,,,66,1,3,Cable Standing Crunch,A standing abdominal exercise pulling cable downward to simulate crunch movement.
Abdominals,Cables,Cable Wood Chopper,A diagonal cable exercise mimicking a chopping motion to target rotational core strength.,,"('Abdominals', 'Cables', 'Cable Wood Chopper', 'A diagonal cable exercise mimicking a chopping motion to target rotational core strength.'),",,,,,,,,,,,,,,,,,,,67,1,3,Cable Wood Chopper,A diagonal cable exercise mimicking a chopping motion to target rotational core strength.
Abdominals,Dumbbells,Dumbbell Crunch,A crunch holding a dumbbell at chest or overhead for added resistance.,,"('Abdominals', 'Dumbbells', 'Dumbbell Crunch', 'A crunch holding a dumbbell at chest or overhead for added resistance.'),",,,,,,,,,,,,,,,,,,,68,1,4,Dumbbell Crunch,A crunch holding a dumbbell at chest or overhead for added resistance.
Abdominals,Dumbbells,Dumbbell Elbow Side Plank,A side plank on elbow while holding a dumbbell with the top arm.,,"('Abdominals', 'Dumbbells', 'Dumbbell Elbow Side Plank', 'A side plank on elbow while holding a dumbbell with the top arm.'),",,,,,,,,,,,,,,,,,,,69,1,4,Dumbbell Elbow Side Plank,A side plank on elbow while holding a dumbbell with the top arm.
Abdominals,Dumbbells,Dumbbell Half Kneeling Wood Chopper,A rotational exercise in half-kneeling position using dumbbell resistance.,,"('Abdominals', 'Dumbbells', 'Dumbbell Half Kneeling Wood Chopper', 'A rotational exercise in half-kneeling position using dumbbell resistance.'),",,,,,,,,,,,,,,,,,,,70,1,4,Dumbbell Half Kneeling Wood Chopper,A rotational exercise in half-kneeling position using dumbbell resistance.
Abdominals,Dumbbells,Dumbbell Hand Side Plank,A side plank on hand while holding a dumbbell with the top arm.,,"('Abdominals', 'Dumbbells', 'Dumbbell Hand Side Plank', 'A side plank on hand while holding a dumbbell with the top arm.'),",,,,,,,,,,,,,,,,,,,71,1,4,Dumbbell Hand Side Plank,A side plank on hand while holding a dumbbell with the top arm.
Abdominals,Dumbbells,Dumbbell Hollow Hold,A hollow hold with dumbbells extended overhead for increased challenge.,,"('Abdominals', 'Dumbbells', 'Dumbbell Hollow Hold', 'A hollow hold with dumbbells extended overhead for increased challenge.'),",,,,,,,,,,,,,,,,,,,72,1,4,Dumbbell Hollow Hold,A hollow hold with dumbbells extended overhead for increased challenge.
Abdominals,Dumbbells,Dumbbell Kneeling Wood Chopper,A rotational core exercise in kneeling position using dumbbell resistance.,,"('Abdominals', 'Dumbbells', 'Dumbbell Kneeling Wood Chopper', 'A rotational core exercise in kneeling position using dumbbell resistance.'),",,,,,,,,,,,,,,,,,,,73,1,4,Dumbbell Kneeling Wood Chopper,A rotational core exercise in kneeling position using dumbbell resistance.
Abdominals,Dumbbells,Dumbbell Long Lever Russian Twist,A Russian twist with arms extended further to increase leverage and difficulty.,,"('Abdominals', 'Dumbbells', 'Dumbbell Long Lever Russian Twist', 'A Russian twist with arms extended further to increase leverage and difficulty.'),",,,,,,,,,,,,,,,,,,,74,1,4,Dumbbell Long Lever Russian Twist,A Russian twist with arms extended further to increase leverage and difficulty.
Abdominals,Dumbbells,Dumbbell Overhead Side Bend,A standing lateral flexion holding a dumbbell overhead to target obliques.,,"('Abdominals', 'Dumbbells', 'Dumbbell Overhead Side Bend', 'A standing lateral flexion holding a dumbbell overhead to target obliques.'),",,,,,,,,,,,,,,,,,,,75,1,4,Dumbbell Overhead Side Bend,A standing lateral flexion holding a dumbbell overhead to target obliques.
Abdominals,Dumbbells,Dumbbell Plank Pullthrough,"In plank position, pulling a dumbbell from one side of body to the other while maintaining stability.",,"('Abdominals', 'Dumbbells', 'Dumbbell Plank Pullthrough', 'In plank position, pulling a dumbbell from one side of body to the other while maintaining stability.'),",,,,,,,,,,,,,,,,,,,76,1,4,Dumbbell Plank Pullthrough,"In plank position, pulling a dumbbell from one side of body to the other while maintaining stability."
Abdominals,Dumbbells,Dumbbell Renegade Row,A plank position row alternating arms while maintaining core stability.,,"('Abdominals', 'Dumbbells', 'Dumbbell Renegade Row', 'A plank position row alternating arms while maintaining core stability.'),",,,,,,,,,,,,,,,,,,,77,1,4,Dumbbell Renegade Row,A plank position row alternating arms while maintaining core stability.
